protocol,model,model_label,threshold_idr,cost_ratio_false_safe,event_count,true_exceed_rate,false_safe_rate,false_unsafe_rate,expected_loss,beta_false_safe_cons,false_safe_ci95_hi,false_unsafe_rate_rel,eligible,fallback_workload
event-disjoint target,pretrained_finetune,MLP finetune,0.01,10,8,0.0178442028985507,0.0042068614130434,0.0656810461956521,0.1077496603260869,2.390975624038992,0.0084018342391304,0.0656810461956521,False,0.0793183876811594
event-disjoint target,pretrained_finetune,MLP finetune,0.01,25,8,0.0178442028985507,0.0042068614130434,0.0656810461956521,0.1708525815217391,2.390975624038992,0.0084018342391304,0.0656810461956521,False,0.0793183876811594
event-disjoint target,pretrained_finetune,MLP finetune,0.01,50,8,0.0178442028985507,0.0042068614130434,0.0656810461956521,0.2760241168478261,2.390975624038992,0.0084018342391304,0.0656810461956521,False,0.0793183876811594
event-disjoint target,pretrained_finetune,MLP finetune,0.01,100,8,0.0178442028985507,0.0042068614130434,0.0656810461956521,0.4863671874999999,2.390975624038992,0.0084018342391304,0.0656810461956521,False,0.0793183876811594
event-disjoint target,pretrained_finetune,MLP finetune,0.015,1,8,0.0029211956521739,0.0008316349637681,0.0363264266304347,0.0371580615942029,2.9431971430568025,0.0016242074275362,0.0363264266304347,True,0.0384159873188405
event-disjoint target,pretrained_finetune,MLP finetune,0.015,2,8,0.0029211956521739,0.0008316349637681,0.0363264266304347,0.037989696557971,2.9431971430568025,0.0016242074275362,0.0363264266304347,True,0.0384159873188405
event-disjoint target,pretrained_finetune,MLP finetune,0.015,5,8,0.0029211956521739,0.0008316349637681,0.0363264266304347,0.0404846014492753,2.9431971430568025,0.0016242074275362,0.0363264266304347,True,0.0384159873188405
event-disjoint target,pretrained_finetune,MLP finetune,0.015,10,8,0.0029211956521739,0.0008316349637681,0.0363264266304347,0.0446427762681159,2.9431971430568025,0.0016242074275362,0.0363264266304347,True,0.0384159873188405
event-disjoint target,pretrained_finetune,MLP finetune,0.015,25,8,0.0029211956521739,0.0008316349637681,0.0363264266304347,0.0571173007246376,2.9431971430568025,0.0016242074275362,0.0363264266304347,True,0.0384159873188405
event-disjoint target,pretrained_finetune,MLP finetune,0.015,50,8,0.0029211956521739,0.0008316349637681,0.0363264266304347,0.0779081748188405,2.9431971430568025,0.0016242074275362,0.0363264266304347,True,0.0384159873188405
event-disjoint target,pretrained_finetune,MLP finetune,0.015,100,8,0.0029211956521739,0.0008316349637681,0.0363264266304347,0.1194899230072463,2.9431971430568025,0.0016242074275362,0.0363264266304347,True,0.0384159873188405
event-disjoint target,pretrained_finetune,MLP finetune,0.02,1,8,0.0,0.0,0.0240449501811594,0.0240449501811594,4.753424308822899,0.0,0.0240449501811594,True,0.0240449501811594
event-disjoint target,pretrained_finetune,MLP finetune,0.02,2,8,0.0,0.0,0.0240449501811594,0.0240449501811594,4.753424308822899,0.0,0.0240449501811594,True,0.0240449501811594
event-disjoint target,pretrained_finetune,MLP finetune,0.02,5,8,0.0,0.0,0.0240449501811594,0.0240449501811594,4.753424308822899,0.0,0.0240449501811594,True,0.0240449501811594
event-disjoint target,pretrained_finetune,MLP finetune,0.02,10,8,0.0,0.0,0.0240449501811594,0.0240449501811594,4.753424308822899,0.0,0.0240449501811594,True,0.0240449501811594
event-disjoint target,pretrained_finetune,MLP finetune,0.02,25,8,0.0,0.0,0.0240449501811594,0.0240449501811594,4.753424308822899,0.0,0.0240449501811594,True,0.0240449501811594
event-disjoint target,pretrained_finetune,MLP finetune,0.02,50,8,0.0,0.0,0.0240449501811594,0.0240449501811594,4.753424308822899,0.0,0.0240449501811594,True,0.0240449501811594
event-disjoint target,pretrained_finetune,MLP finetune,0.02,100,8,0.0,0.0,0.0240449501811594,0.0240449501811594,4.753424308822899,0.0,0.0240449501811594,True,0.0240449501811594
event-disjoint target,pretrained_finetune,MLP finetune,0.03,1,8,0.0,0.0,0.0117312047101449,0.0117312047101449,4.753424308822899,0.0,0.0117312047101449,True,0.0117312047101449
event-disjoint target,pretrained_finetune,MLP finetune,0.03,2,8,0.0,0.0,0.0117312047101449,0.0117312047101449,4.753424308822899,0.0,0.0117312047101449,True,0.0117312047101449
event-disjoint target,pretrained_finetune,MLP finetune,0.03,5,8,0.0,0.0,0.0117312047101449,0.0117312047101449,4.753424308822899,0.0,0.0117312047101449,True,0.0117312047101449
event-disjoint target,pretrained_finetune,MLP finetune,0.03,10,8,0.0,0.0,0.0117312047101449,0.0117312047101449,4.753424308822899,0.0,0.0117312047101449,True,0.0117312047101449
event-disjoint target,pretrained_finetune,MLP finetune,0.03,25,8,0.0,0.0,0.0117312047101449,0.0117312047101449,4.753424308822899,0.0,0.0117312047101449,True,0.0117312047101449
