q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,model,N,rep,subset
0.289183790101994,0.524416390036748,0.4511445981554677,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.14889039855072464,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,2000,5,3-story
0.289183790101994,0.5477259370873976,0.44122406126482216,0.0,0.0,5.9978070150076865,0.12966485507246375,0.0,0.0,16,2,1496,8,ridge_direct,2000,5,6-story
0.3115126447075238,0.4097142631003438,0.5380537714097496,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.10425158514492754,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,2000,6,all
0.3115126447075238,0.4003100607609787,0.5606029726613966,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.11685914855072463,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,2000,6,3-story
0.3115126447075238,0.41890740030376294,0.5155045701581028,0.0,0.0,5.9978070150076865,0.09164402173913043,0.0,0.0,16,2,1496,8,ridge_direct,2000,6,6-story
0.3082902958092945,0.5198702634732334,0.5222373188405798,0.001358695652173913,0.004076086956521739,2.645701413211112,0.1449898097826087,0.047619047619047616,0.043478260869565216,92,3,2992,8,ridge_direct,2000,7,all
0.3082902958092945,0.5114413510410837,0.5456192358366272,0.002717391304347826,0.008152173913043478,2.4020305254184104,0.1571897644927536,0.047619047619047616,0.05263157894736842,76,3,1496,8,ridge_direct,2000,7,3-story
0.3082902958092945,0.5281646770967642,0.49885540184453225,0.0,0.0,5.9978070150076865,0.13278985507246377,0.0,0.0,16,2,1496,8,ridge_direct,2000,7,6-story
0.314064172927551,0.4455678979039925,0.5309494400527008,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.11349637681159419,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,2000,8,all
0.314064172927551,0.436123257877341,0.5418601778656127,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.12389039855072465,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,2000,8,3-story
0.314064172927551,0.4548164544336755,0.5200387022397892,0.0,0.0,5.9978070150076865,0.10310235507246376,0.0,0.0,16,2,1496,8,ridge_direct,2000,8,6-story
0.300207137781868,0.47081224091034407,0.5179651473978919,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.12195991847826088,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,2000,9,all
0.300207137781868,0.46328541808180973,0.5325417901844532,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.12935914855072464,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,2000,9,3-story
0.300207137781868,0.4782206120346576,0.5033885046113307,0.0,0.0,5.9978070150076865,0.11456068840579708,0.0,0.0,16,2,1496,8,ridge_direct,2000,9,6-story
0.3630146120660904,1.247356574610509,0.6352952075098814,0.0061197916666666675,0.017968750000000002,2.0976338780909223,0.06249433876811594,0.35185185185185186,0.5108695652173914,92,3,2992,8,scratch_mlp,500,0,all
0.3630146120660904,1.1782578765617626,0.6301578969038208,0.008854166666666666,0.0265625,1.9339034489928568,0.06571557971014494,0.3333333333333333,0.4473684210526316,76,3,1496,8,scratch_mlp,500,0,3-story
0.3630146120660904,1.3128233791216135,0.640432518115942,0.0033854166666666668,0.009375000000000001,2.350464423109078,0.05927309782608696,0.625,0.8125,16,2,1496,8,scratch_mlp,500,0,6-story
0.2718040800561305,1.0499047391275786,0.5674010828392622,0.00625,0.017968750000000002,2.0976338780909223,0.04685235507246377,0.3703703703703704,0.5217391304347826,92,3,2992,8,scratch_mlp,500,1,all
0.2718040800561305,1.0581609696975705,0.5947700510540185,0.009375,0.0265625,1.9339034489928568,0.05321557971014493,0.38095238095238093,0.47368421052631576,76,3,1496,8,scratch_mlp,500,1,3-story
0.2718040800561305,1.0415830666316517,0.540032114624506,0.003125,0.009375000000000001,2.350464423109078,0.04048913043478261,0.5,0.75,16,2,1496,8,scratch_mlp,500,1,6-story
0.352534175125597,0.6979034016043665,0.7612509263833993,0.005859375,0.017187499999999998,2.1156451358343746,0.05057744565217391,0.33735909822866345,0.4891304347826087,92,3,2992,8,scratch_mlp,500,2,all
0.352534175125597,0.7262644773001707,0.7440948204874835,0.008333333333333333,0.025,1.9599639845400538,0.05274003623188406,0.3137254901960784,0.42105263157894735,76,3,1496,8,scratch_mlp,500,2,3-story
0.352534175125597,0.6683399022606693,0.7784070322793148,0.0033854166666666668,0.009375000000000001,2.350464423109078,0.048414855072463764,0.625,0.8125,16,2,1496,8,scratch_mlp,500,2,6-story
0.2576051930673779,0.8929521577907428,0.5513458292160738,0.005989583333333334,0.017968750000000002,2.0976338780909223,0.045663496376811594,0.3333333333333333,0.5,92,3,2992,8,scratch_mlp,500,3,all
0.2576051930673779,0.8907236321451742,0.5548583662714097,0.008854166666666666,0.0265625,1.9339034489928568,0.0569633152173913,0.3333333333333333,0.4473684210526316,76,3,1496,8,scratch_mlp,500,3,3-story
