q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,protocol,featureset,rep,N,model
0.4602799151245991,1.0405574191819222,0.7553297924901186,0.008837182971014493,0.018229166666666668,2.0917785130041606,0.07223165760869565,0.44708994708994715,0.5978260869565217,92,3,2992,8,event-disjoint target,base,1,250,scratch_mlp
0.2955945678283274,0.5199874017278626,0.4187870553359684,0.0018795289855072462,0.004279891304347826,2.6291530539845853,0.12606997282608695,0.12169312169312169,0.08695652173913043,92,3,2992,8,event-disjoint target,base,1,500,ridge_direct
0.17553743199430993,0.17622279311388211,0.6519659914361001,0.0013020833333333333,0.003125,2.7343687865331816,0.020788043478260868,0.16264090177133653,0.10869565217391304,92,3,2992,8,event-disjoint target,base,1,500,lgbm_direct
0.1550091565441436,0.16294345799330365,0.6420706727602108,0.00234375,0.0046875,2.5980677307623012,0.01676856884057971,0.22061191626409016,0.1956521739130435,92,3,2992,8,event-disjoint target,base,1,500,xgb_direct
0.3366930312741574,0.7734410923417446,0.7436691987812911,0.005989583333333334,0.017968750000000002,2.0976338780909223,0.06120923913043479,0.3333333333333333,0.5,92,3,2992,8,event-disjoint target,base,1,500,scratch_mlp
0.28731698755709534,0.5458743136714176,0.4638314188076416,0.001749320652173913,0.004076086956521739,2.645701413211112,0.13914741847826087,0.10317460317460318,0.07608695652173914,92,3,2992,8,event-disjoint target,base,1,1000,ridge_direct
0.1437791526568697,0.15756904504491115,0.638778409090909,0.00396286231884058,0.006680253623188405,2.4740123652642714,0.014945652173913044,0.30526800092017486,0.2608695652173913,92,3,2992,8,event-disjoint target,base,1,1000,lgbm_direct
0.12832192375978524,0.1512483433451319,0.6087126358695651,0.00396286231884058,0.007294497282608693,2.4424241594551823,0.017346014492753623,0.3503565677478721,0.2608695652173913,92,3,2992,8,event-disjoint target,base,1,1000,xgb_direct
0.2686348670034717,0.7417126288593492,0.709179430171278,0.006589673913043478,0.018229166666666668,2.0917785130041606,0.02813066123188406,0.3822751322751323,0.532608695652174,92,3,2992,8,event-disjoint target,base,1,1000,scratch_mlp
0.2999357155934592,0.4877503582134366,0.5092170001646903,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.1271682518115942,0.08465608465608465,0.06521739130434782,92,3,2992,8,event-disjoint target,base,1,2000,ridge_direct
0.12317737510625948,0.15325821490995137,0.5527415802042162,0.002921195652173913,0.005273437499999993,2.5573641325155934,0.012228260869565218,0.20220841959972394,0.17391304347826086,92,3,2992,8,event-disjoint target,base,1,2000,lgbm_direct
0.10749138893124721,0.15647946059195678,0.5149549160079052,0.004483695652173913,0.008559782608695651,2.384129749618491,0.016304347826086956,0.2891649413388544,0.30434782608695654,92,3,2992,8,event-disjoint target,base,1,2000,xgb_direct
0.22661795449630562,0.6408927237690791,0.6471719573451911,0.007319972826086957,0.01861979166666667,2.0831277194092914,0.020238903985507244,0.4497354497354497,0.5760869565217391,92,3,2992,8,event-disjoint target,base,1,2000,scratch_mlp
0.39774916037964125,0.7575739846356783,0.3329571187417655,0.0,0.0,5.9978070150076865,0.2508095561594203,0.0,0.0,92,3,2992,8,event-disjoint target,base,2,50,ridge_direct
0.825750512909641,0.49130563651598697,0.7559803194993413,0.0,0.0,5.9978070150076865,0.9821557971014493,0.0,0.0,92,3,2992,8,event-disjoint target,base,2,50,lgbm_direct
0.45623776000996985,0.42804004706929083,0.8203840373847168,0.0031249999999999997,0.008593749999999999,2.3826720148424148,0.05317028985507246,0.19645732689210949,0.2608695652173913,92,3,2992,8,event-disjoint target,base,2,50,xgb_direct
0.7230351205650316,2.304507395863552,0.6520308382740447,0.00625,0.017968750000000002,2.0976338780909223,0.19676177536231884,0.3703703703703704,0.5217391304347826,92,3,2992,8,event-disjoint target,base,2,50,scratch_mlp
0.350855668502597,0.3100386965092367,0.6161051753952569,0.002139945652173913,0.004857336956521739,2.585823227605269,0.03935688405797101,0.15873015873015872,0.10869565217391304,92,3,2992,8,event-disjoint target,base,2,100,ridge_direct
