gm_id,event_id,event_title,event_page_url,zip_url,magnitude,file_name,station,component,problem_flag,structure_type,sample_rate_hz,dt_original_s,n_original,pga_original_g,pga_g,pgv_m_s,pgd_m,arias_m_s,cav_m_s,d5_95_s,tm_s,pgv_pga_s
41,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1734a_a.smc,AK: Anchorage; New FS 7,90,-32768,-32768,200.0,0.005,37600,0.020537206931702343,0.02044670048511323,0.03966875536204545,0.04687364206365772,0.02150423821801539,1.7838832384792127,29.9404359657433,0.6529045829547121,0.1977681412306223
42,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1734b_a.smc,AK: Anchorage; New FS 7,360,-32768,-32768,200.0,0.005,37600,0.020649337410805303,0.020617817582713773,0.032795709640819085,0.0322753971326427,0.02017810261245716,1.808934690168911,34.076076268722886,0.69032542953697,0.1621456613609976
43,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1734c_a.smc,AK: Anchorage; New FS 7,UP,-32768,-32768,200.0,0.005,37600,0.007938634046890927,0.00792911871196771,0.01266534638539606,0.013425655805251646,0.002413001502470742,0.6115636655569333,33.28513956157228,0.7840916785773757,0.16282577143682697
44,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1737a_a.smc,AK: Anchorage; New FS 1,90,-32768,-32768,200.0,0.005,33800,0.017370030581039756,0.01743047554479942,0.03317430009558224,0.10449363517248417,0.01598271654049587,1.6227010472177248,31.42128287133443,0.9389320683267414,0.19400973646636133
45,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1737b_a.smc,AK: Anchorage; New FS 1,360,-32768,-32768,200.0,0.005,33800,0.01839551478083588,0.01832713811806862,0.04504037911492186,0.044197974680338224,0.017028739580739395,1.573847722112117,30.50637349179927,0.9686626220377286,0.2505176777439835
46,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1737c_a.smc,AK: Anchorage; New FS 1,UP,-32768,-32768,200.0,0.005,33800,0.008290316004077472,0.008273140787934114,0.015321546805641427,0.01015905847835004,0.00269833186777514,0.6692163787960931,35.34828656226203,1.1401467361061148,0.18878313326910973
47,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1727a_a.smc,AK: Valdez; Dock Company,90,-32768,-32768,200.0,0.005,17200,0.008704383282364933,0.008551027999482172,0.028125673501519774,0.0856320567118583,0.003156840228221661,0.6962327128950296,31.397898699661738,0.6566540781658375,0.33528613540114854
48,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1727b_a.smc,AK: Valdez; Dock Company,360,-32768,-32768,200.0,0.005,17200,0.00960499490316004,0.009558064538811929,0.020127702090111332,0.026940047480840466,0.0038589641564758196,0.7844445995887854,33.94906969803837,0.9201502221553406,0.21466202887350103
49,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1727c_a.smc,AK: Valdez; Dock Company,UP,-32768,-32768,200.0,0.005,17200,0.005957798165137615,0.005941865432907864,0.02049697057509411,0.03036389578131349,0.0015727262463882136,0.4849354524286358,30.890674226080034,0.9955088486030328,0.3516396655219383
50,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1728a_a.smc,AK: Valdez; City Hall,90,-32768,-32768,200.0,0.005,34000,0.026539245667686034,0.026518377192574334,0.04874674806195113,0.101714219089754,0.04327289151882986,2.641856840520382,33.14753452981355,0.7522292506337884,0.18738278862253463
