q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,partition_seed,rep,N,model,alpha
0.23467347660205862,0.1936574705781585,0.7568132648601398,0.001983173076923077,0.004387019230769231,2.6207351961054526,0.060937500000000006,0.04440789473684211,0.05128205128205128,234,3,3616,8,9100,4,500,lgbm_direct,0.025
0.2669188530245741,0.1831149393966456,0.8386407342657343,0.00026041666666666666,0.00078125,3.162817965621285,0.06298076923076923,0.010416666666666666,0.008547008547008548,234,3,3616,8,9100,4,500,xgb_direct,0.025
0.3630403060019298,2.511157765455701,0.8412041083916084,0.024779647435897438,0.05220352564102564,1.623853628591335,0.051911057692307694,0.5173001949317738,0.6153846153846154,234,3,3616,8,9100,4,500,scratch_mlp,0.025
0.3325342837615972,1.6933144937876945,0.7996301354895106,0.011458333333333334,0.02292968749999999,1.9966853459997722,0.07174479166666667,0.3336379142300195,0.3162393162393162,234,3,3616,8,9100,4,2000,ridge_direct,0.025
0.1474323173293839,0.17273882690426376,0.6019500291375292,0.00671073717948718,0.013161057692307692,2.2214260925685845,0.02215544871794872,0.21357212475633527,0.18803418803418803,234,3,3616,8,9100,4,2000,lgbm_direct,0.025
0.13302867575666966,0.17365280405068242,0.5007870775058275,0.008032852564102563,0.01528445512820513,2.162639596578958,0.01658653846153846,0.29641812865497075,0.2222222222222222,234,3,3616,8,9100,4,2000,xgb_direct,0.025
0.26928158689266635,2.3075872543465232,0.7777121576340327,0.024839743589743588,0.051862980769230765,1.6270524365697308,0.029096554487179488,0.5255238791423001,0.6196581196581197,234,3,3616,8,9100,4,2000,scratch_mlp,0.025
0.7015696730415586,0.2523571002716481,1.0,0.0,0.0,5.9978070150076865,0.08254764615158636,0.0,0.0,28,1,1840,8,9101,0,500,ridge_direct,0.025
0.33439167957122606,0.1640375524141673,0.9527801238738739,0.0,0.0,5.9978070150076865,0.048857961222091656,0.0,0.0,28,1,1840,8,9101,0,500,lgbm_direct,0.025
0.2955306634153061,0.1591111270590984,0.9059944795338817,0.0,0.0,5.9978070150076865,0.030717538190364276,0.0,0.0,28,1,1840,8,9101,0,500,xgb_direct,0.025
